dgp,n,estimator,mean_estimate,bias,rmse,mae,coverage,mean_se,empirical_se,n_reps,se_ratio
double_nonlinear,200,CrossFitDR,2.225184612018217,0.2251846120182174,0.2567327258366818,0.2251846120182174,0.3,0.13982266674100627,0.12997257414007554,10,1.075785931502095
double_nonlinear,200,DR,2.2089843734932666,0.20898437349326665,0.2269659454003201,0.20898437349326665,0.3,0.12600031661145356,0.09332780940253271,10,1.3500832969088652
double_nonlinear,200,FlexibleDR,2.0772588789610538,0.07725887896105374,0.11363895637117903,0.08442185047090896,0.2,0.10230813906917247,0.08784378828865591,10,1.164659915769872
double_nonlinear,200,IPW,2.201889851875703,0.20188985187570277,0.21626552813051572,0.20188985187570277,0.3,0.22522760145574577,0.0817262800598414,10,2.755877317440978
double_nonlinear,200,Matching,2.0596265745516407,0.059626574551640624,0.12044863919107657,0.10273246907755573,0.3,0.13976019391051955,0.11031543807655385,10,1.2669141903196939
double_nonlinear,200,Regression,2.196375052301504,0.19637505230150398,0.20746173811173735,0.19637505230150398,0.3,0.12728945478249085,0.07053140840099122,10,1.8047201618152002
linear,200,CrossFitDR,1.954615592629247,-0.045384407370753,0.1976148726658842,0.14567745843459665,0.3,0.1608935715195904,0.20273653802783104,10,0.7936091495135595
linear,200,DR,1.9524282594646103,-0.04757174053538973,0.19190759772896623,0.14164465461670275,0.3,0.151944747981746,0.19597464566320327,10,0.7753286016542882
linear,200,FlexibleDR,1.9290839089628158,-0.07091609103718403,0.22713899325489698,0.17769592425484668,0.3,0.18874111765347396,0.22745702961427425,10,0.8297880174270479
linear,200,IPW,1.9570558362960129,-0.042944163703987216,0.22596646176899773,0.18566937207764508,0.3,0.3612389344212041,0.23384857552642685,10,1.544755761748829
linear,200,Matching,1.8678077529812849,-0.13219224701871496,0.23625817860661102,0.1926491836297575,0.3,0.17325077148792573,0.20640611744448625,10,0.8393683948564277
linear,200,Regression,1.9532182616641378,-0.04678173833586215,0.1904087815005171,0.13507901626498225,0.5,0.15074204032571784,0.19455639865198351,10,0.7747986772481359
nonlinear_outcome,200,CrossFitDR,1.9955561945048106,-0.004443805495189457,0.1278834198736954,0.09521391036018412,0.4,0.15487062628708145,0.13471955096633076,10,1.149577957885169
nonlinear_outcome,200,DR,2.0028845634325956,0.0028845634325955103,0.1325033014842734,0.10098874088459275,0.3,0.14335537256266956,0.13963764295901968,10,1.026624121725837
nonlinear_outcome,200,FlexibleDR,2.026096904003508,0.02609690400350768,0.0746919434839253,0.062241750578780584,0.3,0.1038564077852101,0.07377019891255102,10,1.4078368950627882
nonlinear_outcome,200,IPW,2.0197245346317834,0.019724534631783384,0.12614704696537457,0.10092379660843658,0.3,0.23798122651511738,0.1313351107817284,10,1.8120152722193903
nonlinear_outcome,200,Matching,1.9063191720162789,-0.09368082798372115,0.19888498945690256,0.18633235530623982,0.4,0.1435336833579123,0.1849298410495681,10,0.7761520939145776
nonlinear_outcome,200,Regression,2.002341354232866,0.0023413542328663216,0.13156147949861435,0.0985082796185344,0.2,0.13405340772710517,0.1386560130050886,10,0.9668055847111765
nonlinear_propensity,200,CrossFitDR,2.042172020500822,0.042172020500821736,0.1012675846162677,0.08566798340764617,0.6,0.1467219888275831,0.09704892455120656,10,1.5118352882948973
nonlinear_propensity,200,DR,2.0385438688414963,0.03854386884149661,0.10822063977301437,0.09022489235188184,0.6,0.14071529114017783,0.10659412662373946,10,1.3201036079303012
nonlinear_propensity,200,FlexibleDR,2.0263474678141615,0.026347467814161484,0.17284355264072482,0.13754253023805182,0.5,0.1677435348688425,0.18006389183734106,10,0.9315778591544159
nonlinear_propensity,200,IPW,2.037163380869335,0.03716338086933459,0.1062412913734779,0.08758026879457595,0.6,0.32704399261600864,0.10491316576136772,10,3.117282661738498
nonlinear_propensity,200,Matching,2.019407563262788,0.019407563262788297,0.17569265127197992,0.1452101426003756,0.6,0.18474248745287042,0.18406295480737153,10,1.0036918490535482
nonlinear_propensity,200,Regression,2.036406186748227,0.036406186748227085,0.1073440673920985,0.0882588736262155,0.6,0.14263640179170692,0.10644423877073234,10,1.340010539216951
strong_confounding,200,CrossFitDR,1.8955389966999072,-0.10446100330009296,0.1902032969772649,0.15076714099296185,0.2,0.17697723778204483,0.16754831134319173,10,1.0562758667232384
strong_confounding,200,DR,1.897740100810737,-0.10225989918926279,0.18048258790916077,0.1459619554633395,0.1,0.1603055368632839,0.15676194817546252,10,1.0226049033522795
strong_confounding,200,FlexibleDR,1.9646528559232312,-0.035347144076768776,0.24887499013512368,0.2283787620593154,0.2,0.2634787006719964,0.2596778776364073,10,1.0146366839955112
strong_confounding,200,IPW,2.195199863362786,0.19519986336278577,0.44062185661042574,0.37696804889390445,0.1,0.7138939555638617,0.416392755121583,10,1.714472566544562
strong_confounding,200,Matching,1.7185360199365989,-0.28146398006340123,0.32713367369897217,0.29466095976285667,0.0,0.2225612106876122,0.17573486467041083,10,1.266460193343101
strong_confounding,200,Regression,1.9237544242153877,-0.07624557578461215,0.17055610386313644,0.13455211388888952,0.0,0.1734120459487438,0.16081734545145013,10,1.078316803836909
