dataset,method,seed,marginal_cov,mean_width,ece,power_cov,water_cov,telecom_cov
ACTIVSg200,mondrian,42,0.8865979381443299,0.49633023142814636,0.08762886597938141,0.9,0.8148148148148148,0.95
IEEE118,mondrian,42,0.9027777777777778,0.7574737071990967,0.03888888888888892,0.9333333333333333,0.8846153846153846,0.875
ACTIVSg200,chmp,42,0.8865979381443299,0.494935542345047,0.05463917525773195,0.9,0.8148148148148148,0.95
IEEE118,chmp,42,0.9027777777777778,0.7660386562347412,0.08333333333333334,0.9333333333333333,0.8846153846153846,0.875
ACTIVSg200,mondrian,123,0.9381443298969072,0.5253064632415771,0.03814432989690719,0.94,0.9259259259259259,0.95
IEEE118,mondrian,123,0.8888888888888888,0.7718361616134644,0.09166666666666667,0.9333333333333333,0.7692307692307693,1.0
ACTIVSg200,chmp,123,0.9381443298969072,0.5248960852622986,0.07938144329896904,0.94,0.9259259259259259,0.95
IEEE118,chmp,123,0.8888888888888888,0.7699145078659058,0.13055555555555554,0.9333333333333333,0.7692307692307693,1.0
ACTIVSg200,mondrian,456,0.979381443298969,0.6834714412689209,0.07938144329896903,0.98,0.9629629629629629,1.0
IEEE118,mondrian,456,0.9027777777777778,0.879986047744751,0.07500000000000004,0.8333333333333334,0.9230769230769231,1.0
ACTIVSg200,chmp,456,0.979381443298969,0.6709076166152954,0.08556701030927832,0.98,0.9629629629629629,1.0
IEEE118,chmp,456,0.9027777777777778,0.8776037693023682,0.10000000000000002,0.8333333333333334,0.9230769230769231,1.0
